Station,Latitude,Longitude
FINCH AND MORNINGSIDE,43.82,-79.22122
SHEPPARD AND MORNINGSI,43.80209,-79.19985
LAWRENCE AND PINE,43.70201,-79.50837
LOWER JARVIS AND QUEEN,43.64408,-79.36899
KIPLING AND EVANS,43.61616,-79.52463
SHEPPARD AND VICTORIA,43.77533,-79.32301
LAWRENCE AND RALPH,43.70117,-79.51216
YORK MILLS AND DON MIL,43.75579,-79.34698
EGLINTON AND LEBOVIC,43.7272,-79.2916
WESTON AND LAWRENCE,43.70012,-79.5164
DUFFERIN AND SPRINGHUR,43.63504,-79.42578
LAWRENCE AND CULFORD,43.70649,-79.48763
VICTORIA PARK AND SHEP,43.77525,-79.322989
EGLINTON AND BAYVIEW,43.71116,-79.37719
SHEPPARD AND WARDEN,43.77892,-79.30795
BATHURST AND SHEPPARD,43.75558,-79.43849
ST CLAIR AND OAKWOOD,43.67966,-79.43587
FINCH AND ISLINGTON,43.74605,-79.59886
,,
,,
1 ADRA VILLAWAY,,
1 CHERRY STREET ( CHE,,
1 QUEEN'S QUAY W,,
10 LAKE SHORE BLVD WES,,
10 LIVONIA PLACE (MORN,,
10 MACY AVENUE,,
10 MARTIN GOODMAN TRAI,,
10 SCRIVENER SQAURE,,
10 ST CLAIR AVENUE EAS,,
100 CONSLIUM PLACE,,
"100 ECHO POINT , SC",,
1006 TANDRIDGE CRESCEN,,
100 Flemington Park route,,
100-Flemingdon Route,,
101 MARTIN GOODMAN TRA,,
10115 SHEPPARD AVE EAS,,
1012 DUNDAS STREET WES,,
1015 WILLIAM R ALLEN R,,
1039 GEORGE APPLETON W,,
1057 BASTON ST,,
116 Moriningside Route,,
